city,day,avg_flow,avg_speed,avg_occ
darmstadt,2016-05-04,133.47781969155932,,0.15842753606349697
hamburg,2016-11-08,141.62951120892353,,0.14592843561810212
birmingham,2017-11-13,620.6276679841898,31.185701720111147,
darmstadt,2015-10-16,136.83561703140896,,0.15125742292069227
london,2016-05-21,265.14949442989246,,0.2371149754182471
basel,2016-10-25,189.19588744588745,,0.07639962121212109
darmstadt,2016-04-14,152.04707375465114,,0.15504331439229485
essen,2017-09-26,250.80128281583137,52.35283302720764,0.018756473563772146
bern,2016-10-31,76.33721789897575,,0.021707314731407006
cagliari,2016-05-17,283.23151105726276,,0.0743512297514788
cagliari,2016-06-03,274.62182836499414,,0.07288317229600394
cagliari,2016-06-17,274.0741155605339,,0.06727431884179046
cagliari,2016-06-13,244.01766626128145,,0.06500968657431395
graz,2016-04-08,231.43206946107776,,0.06006716167664597
frankfurt,2016-12-21,233.62438801488346,,0.18775590849679658
hamburg,2016-09-26,152.09743334922067,,0.14043731553676622
innsbruck,2017-04-28,493.20338567588965,34.48621964285806,
cagliari,2016-06-21,268.10633905644227,,0.06730326812505781
cagliari,2016-07-06,281.9338301786772,,0.06898876380396687
graz,2016-09-23,212.4085375916694,,0.05067885824529513
london,2016-05-22,247.5159829985488,,0.22662077799177507
darmstadt,2015-10-01,131.1523467769817,,0.15937858394631543
essen,2017-09-14,244.72395833333331,53.00144512925509,0.018743475991649283
hamburg,2016-10-21,149.735727935975,,0.14282895202315687
essen,2017-09-01,270.72618771726536,53.014482356971804,0.019162224282458392
hamburg,2016-10-14,163.1648817492191,,0.15072594405547676
innsbruck,2017-04-27,491.0523442149522,34.415429713602435,
bremen,2016-09-29,220.41375179224522,,0.07225041984811902
darmstadt,2016-04-13,149.3237244162583,,0.1518213702315694
hamburg,2016-09-24,129.58583725840506,,0.11239927634692942
bremen,2016-09-19,211.16034155597723,,0.06993634392062464
hamburg,2016-11-07,146.85947429231658,,0.1409543557655797
innsbruck,2017-04-18,458.16536425961357,35.33580736004341,
essen,2017-09-09,189.3601776736964,54.61777829148321,0.013180694025813443
birmingham,2017-11-18,343.22030537378544,39.87198768247155,
innsbruck,2017-04-08,398.2906256446615,36.907660623444,
london,2015-09-30,276.37497914394135,,0.25890362227081787
birmingham,2017-10-23,533.1244635193133,32.719574760670646,
hamburg,2016-09-17,124.73298014858118,,0.11448027323767758
hamburg,2016-11-29,151.6925566343042,,0.1466591220462451
bremen,2016-09-21,212.75721908349027,,0.06981620808740048
hamburg,2016-09-25,118.62033657745337,,0.09830187928216194
hamburg,2016-10-15,124.70568248509622,,0.11079880872454508
darmstadt,2016-05-02,122.51128299421035,,0.13946239255195614
hamburg,2016-11-23,152.66757686084142,,0.14588617143561589
hamburg,2016-09-09,162.638892419705,,0.15379006757434838
hamburg,2016-10-22,119.21096813241756,,0.10535231198125203
london,2015-09-29,255.51079445776048,,0.24974257826931665
bordeaux,2016-11-21,310.6771825396825,,0.07721198619139061
bremen,2016-10-02,109.55182675633048,,0.026255754007893664
constance,2017-02-16,157.96941056910543,29.613533197831934,0.048712144308942926
innsbruck,2017-04-21,124.46197912387154,14.10041227435763,
augsburg,2017-05-21,118.49434593319343,,0.07660684930856992
cagliari,2016-07-14,293.4062968329281,,0.07245423718123956
london,2015-05-16,281.936728032901,,0.23677656472443245
cagliari,2016-05-27,279.0605034324943,,0.07526572082116588
hamburg,2016-09-12,151.2111485800187,,0.13569738038992624
essen,2017-09-13,250.0095663086465,52.89025228887251,0.018704326857111517
essen,2017-09-21,249.53027317375683,52.30667108589313,0.01707517097484642
hamburg,2016-12-05,148.78278481012657,,0.1448866994570228
birmingham,2017-11-16,475.5264423076923,36.42411393978448,
hamburg,2016-10-25,150.0956962929504,,0.13071652431434566
innsbruck,2017-04-05,481.23098901534286,34.23365885562283,
hamburg,2016-09-02,158.78952571674822,,0.1489640594294306
birmingham,2017-10-25,457.0719106957425,36.32489492850163,
hamburg,2016-09-23,161.9515409570154,,0.14779603658537305
birmingham,2017-10-27,457.7015210639484,34.84729165094674,
hamburg,2016-11-03,160.96388028895768,,0.16431896034829696
augsburg,2017-05-10,192.46089819595542,,0.13940866640528835
bern,2016-10-25,163.2591661756219,,0.13637183275557446
graz,2016-04-04,213.0808116004502,,0.05229198697224338
essen,2017-03-27,311.2083719286754,50.609643510645775,0.024443424216354537
bremen,2016-10-01,170.7675368903432,,0.04941130343927544
essen,2017-09-06,257.32829351252695,53.33948170756596,0.019319872034567278
kassel,2016-09-01,245.03503392761135,,0.15915998292733077
kassel,2016-08-29,243.39450040904038,,0.16118628099768395
hamburg,2016-09-06,161.10486701426223,,0.15347321658599525
hamburg,2016-10-26,148.4555636120834,,0.12673279180856792
hamburg,2016-10-06,158.78565631974033,,0.150191653497824
london,2016-05-18,256.830429469934,,0.2628165186868917
bremen,2016-09-27,209.81720738075714,,0.06854416470219767
darmstadt,2016-04-19,123.70337000505818,,0.1331317442252527
hamburg,2016-09-21,156.24697385820363,,0.14224767173108316
innsbruck,2017-04-03,473.37838547884127,34.24926214104384,
hamburg,2016-08-28,100.60773254863496,,0.08564103746200075
darmstadt,2015-09-22,129.4483140849923,,0.14508870214752556
hamburg,2016-10-12,156.74259831296823,,0.14746644565459457
essen,2017-09-04,248.86584102444107,53.29948831254105,0.017844631732056436
cagliari,2016-05-25,280.9239027432184,,0.07671257039019491
innsbruck,2017-04-11,447.49401028880214,35.58684902960285,
augsburg,2017-05-15,193.73546193528216,,0.13412683679850734
augsburg,2017-05-14,134.88583996038335,,0.08283176517423825
bremen,2016-09-25,123.306183301946,,0.030180674468246186
cagliari,2016-06-28,292.5283047022177,,0.07418611158388684
innsbruck,2017-04-25,478.7377602326387,34.063780425145396,
essen,2017-09-30,196.6333120822224,54.520670301147575,0.01325672385810343
london,2015-09-27,262.06244788209193,,0.23725676423658787
hamburg,2016-09-15,158.53616908877567,,0.14460779621087083
bordeaux,2016-11-26,275.49463007159903,,0.06588376803401827
innsbruck,2017-04-04,472.83437467365434,34.18778206582684,
darmstadt,2016-04-27,152.02662849787222,,0.15149533937245058
hamburg,2016-12-03,130.8877427184466,,0.12664244808120093
bolton,2017-11-15,346.2547272423025,24.2958665896244,14.266191801576031
cagliari,2016-07-22,279.578894786138,,0.06888371319040963
hamburg,2016-10-28,155.0500678136968,,0.1401387336668786
hamburg,2016-08-30,153.1868410509714,,0.14508098256816504
hamburg,2016-11-18,162.09952557755776,,0.16765485058025556
hamburg,2016-10-09,105.60302679893697,,0.08875317683593334
basel,2016-10-26,194.4172077922078,,0.0841607593795093
cagliari,2016-05-30,276.1596083051996,,0.07979991982997009
essen,2017-09-07,268.7251525917828,52.23611760030064,0.01986394089574156
essen,2017-09-19,240.58730064270407,53.7842367000714,0.016462548599539804
bordeaux,2016-11-22,320.09996041171814,,0.08745919141123441
hamburg,2016-10-13,162.29833592234982,,0.15016261528696498
darmstadt,2015-10-07,139.71874562854345,,0.13347456395148866
cagliari,2016-06-23,281.29672904515184,,0.0679358923791776
darmstadt,2016-04-15,155.64893904842887,,0.16083687628028687
hamburg,2016-10-16,106.31556407430813,,0.0871385666544104
