city,avg_flow,avg_speed,avg_occ,detector_count
augsburg,176.62705959529873,,0.1271635598681256,713
bordeaux,305.7668968849477,,0.07928806744114716,425
innsbruck,375.47582467082185,31.33972657247656,,16
kassel,245.06513094574163,,0.1565035314480628,505
strasbourg,267.04501667678585,,0.03900820510367637,142
toronto,266.4542035625296,,0.08652907528442942,188
paris,974.1060902824596,,0.07890089792682899,208
melbourne,212.342440663168,,,954
constance,143.42293360433604,30.54293618531424,0.04288926797006065,122
darmstadt,133.07286778559796,,0.14525222132817125,392
groningen,211.73951652688703,36.08422041689161,Infinity,55
luzern,711.252721395798,,2.862271952146121,158
basel,171.8147804576376,,0.06967168496186352,77
bolton,347.9652652303903,24.45550343951812,14.508464293834104,166
london,272.7227896873978,,0.24859380054845037,5719
hamburg,143.28428594147334,,0.13493990459042055,418
bern,151.8727169082057,,0.12186835682831736,755
rotterdam,260.82671956240966,36.53857546276907,Infinity,259
santander,357.18920168089426,,0.07318454680831502,219
stuttgart,276.1008322336851,,0.06071340337758583,298
utrecht,129.01448208901834,,,1027
graz,214.1504250277474,,0.0528733692132947,300
zurich,209.87400601371854,,0.10101008949843719,1020
manchester,387.05982274806126,31.471486834048125,16.10016066612704,181
losangeles,832.6096136789263,,0.061140477202736125,1722
madrid,528.5013861660989,,0.08895547049241379,1116
torino,433.1001460248268,42.353764201787214,Infinity,399
wolfsburg,189.01990402144247,,0.06216776111324966,133
vilnius,239.26127588338642,,0.07778823581897407,581
bremen,194.40646768824584,,0.06140949141222978,548
essen,231.23191974439098,53.39118979391922,0.016476238237118947,36
frankfurt,233.62438801488346,,0.1877559084967964,112
birmingham,473.8732116340485,35.57095330265179,,52
cagliari,276.3499761532783,,0.07049890238274216,122
marseille,401.4158764792899,,0.06026670948389212,169
taipeh,523.6533801885435,,0.045982429823862574,445
toulouse,431.63712487355286,,0.033565812602250604,477
speyer,143.1358220565112,,0.12527348653800152,184
munich,225.61639716121473,,0.09581296491118442,520
