city,fclass,avg_flow,avg_speed,records
cagliari,other,278.6393763808412,,23989
augsburg,secondary,212.450017257548,,1208167
constance,primary,162.51301256613803,35.16867697310389,72576
bern,tertiary,102.21811465150279,,149920
cagliari,motorway_link,307.98548775529355,,95919
constance,other,37.20357142857144,4.295337301587302,2016
bordeaux,motorway_link,532.014880952381,,4032
constance,tertiary,126.96080246913552,27.08679085831848,54432
essen,tertiary,159.16521121939917,57.252104103249295,32407
constance,secondary,160.7008387445892,31.407806863275734,88704
bremen,service,149.2123015873016,,20160
london,primary,274.582767911085,,7612161
bolton,residential,126.0,8.5,2974
kassel,primary,303.9798156363548,,221217
augsburg,tertiary,169.63844523057546,,1265551
birmingham,other,334.9543596730245,49.077958174367666,2936
constance,residential,86.1658424908426,27.179361263736208,26208
basel,other,189.21428571428572,,4032
augsburg,living_street,52.728703575866355,,14486
bordeaux,residential,103.195,,50400
london,residential,286.38790504333764,,4898208
birmingham,secondary,370.5914432916261,33.37927082774711,42119
kassel,secondary,206.70509884259127,,224795
bolton,secondary,267.10783378426987,25.60158527520537,63941
augsburg,residential,64.74447457111725,,394630
frankfurt,residential,96.64845883730004,,5126
bordeaux,tertiary,192.44988545246278,,167616
graz,secondary,139.85455557796342,,114047
darmstadt,tertiary,81.39172172819654,,165421
hamburg,secondary,141.54844720949023,,7006193
essen,primary,293.1603249849249,52.53352475608929,113482
darmstadt,primary,167.67310259746844,,2366920
bremen,primary_link,265.54761904761904,,20160
groningen,secondary,208.75183570017518,35.93291049363809,26829
london,other,241.19145825363515,,2610418
basel,primary,222.9805402930403,,52416
frankfurt,other,146.14880201765448,,793
bremen,secondary,197.02017289020952,,1268088
kassel,primary_link,212.10020638273335,,5722
bremen,trunk,190.88868156735083,,100756
cagliari,residential,203.31810252132684,,406413
augsburg,trunk_link,130.38785023307102,,59853
basel,residential,99.02827380952381,,16128
bern,secondary_link,31.77656945130994,,2023
bremen,other,148.75912081339712,,133760
bolton,primary,451.62063914657625,23.08871831976777,108551
birmingham,trunk_link,552.4974729241877,38.168549862317924,9695
hamburg,tertiary,107.95211641982273,,6798155
bordeaux,trunk,737.0064935064935,,22176
essen,secondary,199.0938039370374,53.20084366267909,146004
graz,residential,152.99897068306964,,40318
london,secondary,254.8007406594941,,1326380
graz,other,58.75,,2880
bordeaux,primary,443.2207407407407,,194400
innsbruck,primary_link,321.33930523997697,45.35576388511572,8640
bolton,other,201.30107306803896,20.813321143847606,34201
bremen,trunk_link,151.37872023809524,,26880
cagliari,tertiary,276.38074015888526,,1950338
hamburg,other,61.051272890516735,,1178381
bern,residential,64.22514775499877,,153878
bolton,trunk,358.0023735116104,32.59615113485958,25279
bordeaux,trunk_link,285.4920634920635,,18144
kassel,secondary_link,331.3391932921219,,3478
darmstadt,other,38.099288069186294,,41858
birmingham,tertiary,287.08874094050225,34.022837388444685,23732
bern,primary_link,94.6133495514673,,26308
darmstadt,primary_link,84.50577026392922,,147047
bern,motorway,79.84507370397827,,4047
bolton,trunk_link,180.08137188971082,43.857002795505544,5948
darmstadt,secondary_link,216.05776254424904,,17797
hamburg,secondary_link,216.1034114606719,,100221
basel,secondary,149.20731292517007,,70560
hamburg,residential,94.48645435895469,,208628
bern,secondary,171.14840612883722,,552114
innsbruck,tertiary,189.19291646940982,12.659687496664356,17280
graz,primary,239.24231346695714,,647392
innsbruck,secondary,210.28211802355017,27.072821203744244,34560
augsburg,secondary_link,114.19671012217596,,43953
innsbruck,primary,496.3066204955725,35.82991127402266,77760
augsburg,primary,277.14932229822784,,307141
bremen,tertiary,151.62313645517992,,315796
bordeaux,other,126.75992063492063,,6048
basel,tertiary,201.02083333333334,,8064
kassel,other,42.47774371530758,,3495
bremen,motorway_link,56.06845238095238,,6720
graz,tertiary,99.36519826338642,,34550
groningen,residential,238.15922330097087,38.02644738317719,515
london,tertiary,274.1148874981054,,17950155
bordeaux,secondary,291.4965304548959,,373536
birmingham,trunk,721.9088019775756,37.42040961151818,33981
bordeaux,secondary_link,155.46130952380952,,8064
constance,living_street,67.20714285714286,9.89744543650793,4032
kassel,tertiary,167.38139477900077,,39611
groningen,tertiary,276.10154738878146,39.042873263440114,1034
kassel,residential,171.90317257870467,,26696
hamburg,primary_link,225.98391570713017,,100222
cagliari,trunk,262.6124545354348,,907300
frankfurt,tertiary,136.3690280065898,,2428
hamburg,primary,219.74184368330114,,4506262
bremen,residential,169.78889659083748,,126952
bremen,secondary_link,188.76488095238096,,6720
kassel,motorway_link,370.9268429592554,,9670
bolton,tertiary,405.0,12.0,5948
cagliari,primary,298.82942791634025,,2896447
frankfurt,primary_link,340.70779976717114,,859
darmstadt,secondary,107.37321682817465,,1956766
basel,secondary_link,117.625,,4032
darmstadt,residential,75.80533647444433,,234312
frankfurt,primary,342.99256077920086,,13039
augsburg,primary_link,108.90306552920221,,42668
augsburg,other,74.30128444477634,,107128
graz,primary_link,110.88888888888889,,8640
frankfurt,secondary,172.81258191349934,,8393
bern,motorway_link,127.52371756822706,,75813
cagliari,secondary,258.295372069317,,1716750
bremen,primary,208.1795020354005,,1552520
cagliari,trunk_link,378.07983324648256,,47975
bern,primary,177.09952178899655,,561929
hamburg,service,141.9780968290632,,525586
madrid,other,505.6870167339873,,43325
losangeles,secondary,822.3769051603401,,2024882
madrid,residential,280.82831910833073,,1742589
madrid,motorway_link,496.0372337092732,,31920
luzern,other,89.86463535684202,,1225497
losangeles,motorway_link,690.9687846033053,,44392
madrid,tertiary,521.9341065514609,,1316597
madrid,secondary_link,362.20718201754386,,36480
luzern,tertiary,1098.5854302543503,,2921734
madrid,primary,783.4532403410868,,1585867
losangeles,other,486.37952503192855,,337739
luzern,secondary,1634.1733853545704,,2034397
madrid,living_street,149.35197933808743,,18230
madrid,secondary,558.9932882585616,,1162217
madrid,trunk,567.8058140411118,,163667
luzern,residential,1203.6209493668089,,2750408
losangeles,primary,989.2293655913653,,1722813
luzern,primary_link,164.33060483562244,,175114
luzern,primary,524.9358300355268,,16895577
madrid,primary_link,831.6615253411305,,13680
losangeles,tertiary,571.130443860996,,481428
luzern,motorway_link,302.06859132823104,,875570
santander,other,455.8487064859971,,29094
speyer,primary_link,112.93154761904762,,6720
paris,secondary,923.7197342237769,,1393014
paris,trunk,1226.0946050775742,,106350
manchester,primary,208.1975615682575,28.214874738839644,209889
melbourne,other,135.18055555555554,,1440
munich,other,120.85892774034917,,288
stuttgart,secondary_link,177.09900173611115,,4608
manchester,secondary,165.99134373427276,32.0175335121959,39740
munich,trunk_link,457.94853580257393,,3732
strasbourg,primary,298.09076118470324,,1243417
vilnius,motorway,259.25233644859816,,749
rotterdam,trunk,305.2477555363437,50.07246801727138,30074
melbourne,tertiary,169.60643766331492,,629918
vilnius,living_street,226.12732095490716,,377
toulouse,motorway_link,410.43051470588233,,57120
utrecht,trunk,288.18018758129665,,43821
torino,secondary,458.2878029708342,42.30707499310489,989823
toronto,secondary_link,36.411322471716595,,17558
marseille,tertiary,230.07726456639566,,590400
stuttgart,residential,197.06770833333334,,2304
utrecht,primary_link,137.2001488095238,,16128
vilnius,service,157.7991452991453,,1404
torino,primary,564.8591535717728,47.685678491003465,809094
speyer,secondary,165.10623882314897,,751552
marseille,motorway_link,221.58805555555554,,14400
taipeh,tertiary_link,545.3815928668581,,6617
taipeh,primary_link,475.22108671456033,,19766
zurich,primary,272.37543025263653,,872162
zurich,other,94.92342297641494,,60462
manchester,trunk_link,298.2850046128735,21.38813772244251,14091
manchester,residential,22.849052586757505,32.7386387537035,9394
santander,secondary,287.61222387277786,,266328
munich,secondary,166.55612703177394,,89588
strasbourg,secondary,267.9954082178383,,1308860
santander,tertiary,347.5672862338731,,111906
munich,trunk,553.200282895611,,19807
vilnius,residential,192.9863654863655,,29484
manchester,motorway,1251.808814136683,42.58406257936827,4697
